1000000:  x == 1/725*q1
1001000:  x == 13/227*q1
1010000:  x == 7/227*q1
1010100:  x == 37/17*q1
2000000:  x == 1/725*q2
2000010:  x == 81/227*q1 + 4/227*q2
2000100:  x == 27/227*q1 + 4/227*q2
2001000:  x == 9/227*q1 + 4/227*q2
2001010:  x == 63/17*q1 + 16/17*q2
2002000:  x == 13/227*q2
2010000:  x == 3/227*q1 + 4/227*q2
2010010:  x == 39/17*q1 + 16/17*q2
2010100:  x == 21/17*q1 + 16/17*q2
2010200:  x == 12/17*q1 + 25/17*q2
2020000:  x == 7/227*q2
2020010:  x == 27/17*q1 + 28/17*q2
2020100:  x == 9/17*q1 + 28/17*q2
2020200:  x == 37/17*q2
